qid	a	b	c
2364	-0.5389637048082793	-1.6682908663302252	0.25
2365	-1.1950542337142152	-1.3342094872520354	0.25
2367	-0.31638685525036464	-1.0322195045441778	0.25
2368	-0.4155380309058686	0.5338159789364688	0.25
2369	-1.4763871012798897	0.8168369497616633	0.25
2370	1.4651900293411086	-0.741354685878215	0.25
2371	0.6338145245299616	1.1807057649185744	0.25
2372	-0.7597129726909109	-1.8178746067934946	0.25
2373	-0.3619252016431319	-1.3747684189098581	0.25
2374	-2.227733575307046	1.1835959903350042	0.25
2375	-1.4157864055956852	1.7853713826769755	0.25
2376	1.323274920456729	-3.1007402316823316	0.25
2377	-2.0011447688548247	1.3103608864582454	0.25
2378	-1.6688681279748407	1.5711150432074468	0.25
2379	-0.23448509269125603	1.0186141106926072	0.25
2380	-1.0210033436625194	0.2624273783871886	0.25
2381	2.1166355434367596	1.9636244653017425	0.25
2382	1.5338192912748454	1.8768967789453506	0.25
2383	0.5842526097645593	-3.26283979384278	0.25
2386	-1.1854250400130895	-1.9348347966784298	0.25
2387	0.9746809943627259	2.0598738781204875	0.25
2388	-1.026514261042563	-0.3924162656127187	0.25
2389	-0.8388514233497119	1.899246617108278	0.25
2390	0.41766170612854403	-0.6927146853392687	0.25
2391	-1.1487104980984717	-1.5792932017441776	0.25
2392	0.015724952765230327	0.4453680567058062	0.25
2393	-0.6990282887589725	1.1299603862438339	0.25
2394	-1.485395244853808	0.2670368090413278	0.25
2395	2.273786083974377	2.835119073926254	0.25
2396	0.15138442268516683	1.6850893190473786	0.2
2397	-0.424664064213959	-0.7579300677853984	0.25
2398	-1.0049101840853276	-0.9808144273290066	0.25
2399	0.858264085663634	-0.09082758118131282	0.25
2400	-0.5281865294242959	0.4591495137306877	0.25
2401	-0.18320742495543893	-1.2541716254175665	0.25
2402	0.39931250404181245	1.1904717919440295	0.25
2403	1.20520562040257	-0.6991229507065062	0.25
2404	0.08113856106702608	-1.523010923785526	0.25
2405	0.9964641419854113	-1.1451619302622158	0.25
2406	-0.19425083132632665	-1.5542794286233284	0.25
2407	1.0818548404244184	0.7151048064806979	0.25
2408	-1.6671152925383619	-2.3945141790565505	0.25
2409	-0.8082261909947484	-0.07723270193717545	0.25
2410	-1.0402584574689377	-1.332607929584043	0.25
2411	0.19359151418480453	1.6213533258016737	0.25
2412	-1.5168030439946913	-1.1977111828017353	0.25
2413	-0.7194637214858765	1.8859754832717581	0.25
2414	-0.4002728583387913	-1.764383363297247	0.25
2415	-1.0808655591848806	1.6280137358547968	0.25
2416	-1.033199150703707	-1.770150463273411	0.25
2417	0.8805214635707181	1.2228430904417964	0.25
2418	0.06628232149007486	1.1944887599127358	0.25
2419	-1.3656292441688733	-2.1609769037727156	0.25
2420	-0.25667527758948483	0.8666612529141088	0.25
2421	0.0680746497974312	1.8151340690069797	0.25
2422	0.006115916151439609	-1.7386351103764903	0.25
2423	-0.29164418809060433	-1.1515401843131965	0.25
2424	-0.8542409251329126	-0.6007361159469198	0.25
2425	-0.8262848765280109	1.5355431938963489	0.25
2426	-0.7981913756231601	1.7214001538703196	0.16666666666666666
2427	-0.30727330174407036	-1.5263770657234845	0.25
2430	1.5063465765390804	-0.6963325284283964	0.25
2431	1.6007971903160745	0.8077369120372846	0.25
2432	0.23167499159929553	1.5973458936408256	0.25
2433	-1.0863595569011484	-1.8364905461597563	0.25
2434	2.2188142838689298	-1.2596325649179063	0.25
2436	-1.9488337659104258	-0.16430600664827355	0.25
2437	-0.6185488699760379	-1.4975356264370858	0.25
2438	0.3261173999819972	-0.048223861074089505	0.25
2439	-1.2846408449948639	-2.0378082708029126	0.25
2441	-1.2772159021592515	1.6940164213963056	0.125
2443	0.7679282468378839	-0.4312376788329883	0.25
2444	0.17136862426230984	-0.7105722979594785	0.25
2445	-0.8640810014991908	1.2004967045713526	0.25
2446	-0.6444992481838636	-0.30891956509309204	0.25
2447	-0.708983710927071	-1.3402113808989178	0.25
2448	0.5770903086130099	-0.9227084307544469	0.25
2449	-0.2913926560336306	-1.0147103021791348	0.25
2450	-0.4891662874638985	1.7688217031000137	0.25
2451	1.1221224225025757	-1.237820705784458	0.25
2452	0.8128940742432018	-1.6393721645605313	0.25
2453	0.1689741439502552	-0.8079196974484978	0.25
2454	0.9925564142668751	1.092712161585298	0.25
2455	-1.0910719271165579	1.6808257574422587	0.25
2456	-0.4698402853430732	-1.6968146634499743	0.25
2457	-0.2704013863712016	-1.3313942691976366	0.25
2458	1.6657235247854787	1.3971160008877122	0.25
2459	-0.8744364557053025	-2.072907499188739	0.25
2460	-0.1350276900050049	1.2981648653289615	0.25
2462	-0.31676269539804386	0.08322624477117153	0.25
2463	0.9775706053979742	0.24670384898338366	0.25
2464	-1.1549710750092228	1.1880405532435812	0.25
2465	1.864475632754367	2.127715938520732	0.25
2466	-0.4514340968107966	-0.12373255995734761	0.25
2467	-1.599123143886543	-2.043661737640266	0.25
2468	-0.6888666076077642	0.7534932127350684	0.25
2469	1.1587730301912227	1.3838390819070523	0.25
2470	-1.5966896217114241	2.702910033020167	0.25
2471	-0.7709306562300177	-2.1762841182268686	0.25
2472	-0.33503846739379944	-1.6719070142409214	0.25
2474	0.770944935449912	-0.029229235744924007	0.25
2475	-2.3430208279195113	-1.7428942750111145	0.25
2476	-0.9616532393021404	-1.3848558710940482	0.25
2477	1.6291639105491333	0.7745281896044374	0.25
2478	1.2656973073898965	3.290951390676518	0.25
2479	-0.2573507712360602	1.105627020164485	0.25
2480	-0.9541875969057444	0.027337120283452854	0.25
2481	-1.0549286876310253	-1.8614957045987683	0.25
2482	1.4546537032461415	0.4971456265634449	0.25
2483	-2.1299766556456095	-1.1794777826519636	0.25
2484	0.6420627740177215	-1.052323712980235	0.25
2485	-0.746526107749214	-1.004683551988795	0.25
2486	-0.7577464197900872	-0.061357432346931154	0.25
2487	-0.8543675993102028	1.7874713315706199	0.25
2488	0.45881213249403324	1.1892251958335684	0.25
2489	-0.18206977544032768	-1.9668550909417133	0.25
2490	-0.2901375320832828	-1.5321067466798135	0.25
2491	-0.9816177351015015	-1.7999698182482609	0.25
2492	-0.06761295338831082	-1.0973875069573267	0.25
2493	-1.6853363283118497	-1.391710334391745	0.25
