qid	a	b	c
2364	-5.509096414283509	-3.100254115767804	0.25
2365	-5.084305208221549	-3.330534744266838	0.25
2367	-5.375967216807712	-3.500461200288342	0.25
2368	-5.226888483075044	3.905705105784444	0.25
2369	-4.784400226631076	3.3878837483788593	0.25
2370	-1.4115040593684351	-0.4555297442304406	0.25
2371	-5.386404810192632	3.4210020305145084	0.25
2372	-5.752105130725899	-4.2778981228732595	0.25
2373	-3.2130720461588167	-2.532848597561175	0.25
2374	-4.257614719508178	3.2351094881114246	0.25
2375	-4.861416994183018	3.2079982772071514	0.25
2376	-5.516278952729222	-3.476747592125831	0.25
2377	-4.065337390388186	-3.8138420645357463	0.25
2378	-4.888188215196238	2.565203579529378	0.25
2379	-5.210218384419352	3.6939535759970883	0.25
2380	-1.7944758474816531	1.8103938926384522	0.25
2381	-5.454570832646871	-3.7811125647288186	0.25
2382	0.9943343554503388	-1.8045371902122143	0.25
2383	1.6622064732058999	1.6519578552835799	0.25
2386	-4.4171872909521825	-3.576750697640473	0.25
2387	-1.7522569842792668	-0.5500726738803184	0.25
2388	-5.2438938234067844	-3.3866661847145547	0.25
2389	-4.317536432677601	-2.859604368581587	0.25
2390	-4.408469456226897	-3.1904882175671863	0.25
2391	-5.6292319074905715	-3.841427961636241	0.25
2392	-3.533980541267589	-3.043499248797505	0.25
2393	-2.7833678409200164	1.9170692942793448	0.25
2394	-4.467293083709855	-2.93722136162838	0.25
2395	-2.7238264152375136	-2.7841158726694646	0.25
2396	-5.248421302489536	3.6119095373480006	0.2
2397	-4.778310587326616	-3.293252227543862	0.25
2398	-5.057261031057048	-3.3400405533746627	0.25
2399	-3.1401489333940984	2.7563072722659254	0.25
2400	-3.806478998791227	-2.6897901783663536	0.25
2401	-3.8989427610847764	-2.5283408724044167	0.25
2402	-1.5840109258511497	-2.0264907965483046	0.25
2403	-1.3719024040292975	-1.7013634763490206	0.25
2404	-5.380040542143889	-3.6098569264227636	0.25
2405	-4.699939194533499	-3.323657014025019	0.25
2406	-4.300684876273245	-3.0751251973146374	0.25
2407	-4.150513975458797	2.870573935836102	0.25
2408	-5.537651275176386	-3.0272626714524122	0.25
2409	-3.1384479983058813	-2.706250544997395	0.25
2410	-3.9245490375442937	3.147343178937259	0.25
2411	-4.284365104663271	2.67593394916803	0.25
2412	-4.748401145543203	-3.188684915661019	0.25
2413	-5.378986113505366	3.4742226279337087	0.25
2414	-2.2165963152763384	-3.1335815385703327	0.25
2415	-4.590921527891876	3.0315044178810986	0.25
2416	-4.028435668777701	-3.017910915344694	0.25
2417	-3.762466759372207	-3.146097093849938	0.25
2418	-4.743995806316155	2.8769547842979954	0.25
2419	-5.663798610945975	-3.271206334511018	0.25
2420	-5.2385307377798	3.9593115093973394	0.25
2421	-4.821515139383803	2.9952132984192628	0.25
2422	-5.280323458434061	-3.3637181594401704	0.25
2423	-3.805427492422331	-2.8576065162656956	0.25
2424	-5.205263790468426	-3.3057933840092373	0.25
2425	-5.311078969145826	3.5086120465669084	0.25
2426	-5.012289738375081	2.625637707724524	0.16666666666666666
2427	-5.425115038613401	-3.5405529620001683	0.25
2430	-0.17954821657504538	-1.067408755889811	0.25
2431	-5.398788305914652	-3.742917788527567	0.25
2432	-3.8799489047482383	3.5588276235056666	0.25
2433	-5.29980882473263	-3.2408912849163456	0.25
2434	-3.9224842567490144	-2.7190491712839595	0.25
2436	-4.935264025942532	2.937611905135558	0.25
2437	-1.9608470567773393	-2.255912860470003	0.25
2438	-3.19905896391641	-3.020483827411063	0.25
2439	-4.708369864432247	-2.8558365241007957	0.25
2441	-5.811531057664913	3.7711548731109064	0.125
2443	-4.480964483062193	-3.3093786288482083	0.25
2444	-5.31071399451276	-3.030656204759026	0.25
2445	-3.697676277551512	3.483003474591222	0.25
2446	-3.8474502712109575	2.7523479419869	0.25
2447	-5.630268554891344	-4.099171344721249	0.25
2448	-3.9662053299430227	-2.482154120164301	0.25
2449	-4.707248861915333	-3.0773458306987056	0.25
2450	-4.962645062987097	3.725676314473743	0.25
2451	-5.476301342560542	3.221527252356522	0.25
2452	-5.264787011198978	2.969251828658957	0.25
2453	-4.666591810709328	-3.066368908189608	0.25
2454	-4.745565460628795	3.0701029695679583	0.25
2455	-5.30001509953066	3.804632545740953	0.25
2456	-3.960404984678919	-2.9525388245875024	0.25
2457	-5.431564092851486	-3.1066281904876356	0.25
2458	-1.4515809741858643	-1.3988897320690814	0.25
2459	-3.618430523197566	-2.357613534418486	0.25
2460	-2.5315777726872546	2.417781876879399	0.25
2462	-4.392343321913714	-2.8629357702678613	0.25
2463	-2.4828975966827973	2.4329586205508558	0.25
2464	-3.9960093384681543	3.210119783859837	0.25
2465	-2.6993600714016353	-1.8064137459292395	0.25
2466	-4.655844174655771	-3.882160060129207	0.25
2467	-5.594461044068201	-3.1305020975162834	0.25
2468	-4.041730980159813	2.419811643140089	0.25
2469	-4.489726413516319	-2.921549558443087	0.25
2470	-5.26820464132502	3.1678923255263536	0.25
2471	-4.391070388506613	-2.9870335343339893	0.25
2472	-5.0986911748208374	-3.445595907301253	0.25
2474	-3.680411103144941	2.7600166223344926	0.25
2475	-5.428198861140197	-3.3569840850647417	0.25
2476	-5.258942536243303	-3.283161734796813	0.25
2477	-4.937496554257574	-2.490687857521024	0.25
2478	-4.17917460701068	-3.070671404350818	0.25
2479	-3.5064944954122006	-2.8573010491512805	0.25
2480	-1.429639865025682	1.1605950880090508	0.25
2481	-5.139727840584272	-3.282040037918432	0.25
2482	-3.9348769204753844	2.37565917762851	0.25
2483	-1.6525988150449544	-2.2093022088572964	0.25
2484	-5.253408888069447	-3.6173811473372552	0.25
2485	-4.776791711503295	3.3551425185792136	0.25
2486	-4.60631063700824	-3.2472846639968305	0.25
