qid	a	b	c
2364	-5.775470176195777	-3.638985536873116	0.25
2365	-5.318823508532487	-3.8339974280324762	0.25
2367	-4.579601327767728	-3.3698015423009884	0.25
2368	-5.545512724823047	3.747762075737586	0.25
2369	-4.023993053100446	3.1081311345086364	0.25
2370	-4.465792697829082	-2.8475067853716847	0.25
2371	-5.26929771934102	3.3929769975320294	0.25
2372	-5.509624200963581	-2.8181692965722127	0.25
2373	-3.309782466843879	-2.9356438231473105	0.25
2374	-4.06528093099409	2.963385977872283	0.25
2375	1.5000140717555301	-2.340371959877299	0.25
2376	-5.409531188501153	-3.2891682845561623	0.25
2377	-4.442563722332736	-3.1699057443236156	0.25
2378	1.6135052598374249	-2.0091372535614127	0.25
2379	-5.562619265379896	3.7698440696813718	0.25
2380	-2.258841025317348	2.109279417994777	0.25
2381	-5.7317874594818266	-3.666344586886378	0.25
2382	-3.439474153136136	-2.9781137290226254	0.25
2383	-4.286193026502821	-2.8918926995823853	0.25
2386	-4.444603509203375	-3.044095038536045	0.25
2387	-4.362835250077194	2.6824497774540133	0.25
2388	-5.351764547713493	-3.6559176769286688	0.25
2389	-3.8812254257358765	-2.625648390009758	0.25
2390	-4.186016712553521	-2.387779641480315	0.25
2391	-5.694716998601359	-4.148563419223726	0.25
2392	-1.5921496607817245	1.7289039018346857	0.25
2393	-4.130631858081091	2.520927166492972	0.25
2394	-3.7430809947782286	-3.0777717646405827	0.25
2395	-1.079632855253901	-1.9337266033064826	0.25
2396	-5.183762114000265	3.823276042798837	0.2
2397	-4.902739421912242	-3.2898772713164988	0.25
2398	-4.757057465597586	-3.385310518395626	0.25
2399	-3.521386441662964	2.98833474527494	0.25
2400	2.048222002776201	0.9507031465797623	0.25
2401	-4.818342952969277	-3.099709482533761	0.25
2402	-3.2648349493168043	2.0213211854896476	0.25
2403	-3.1522106950334456	-3.081843152216945	0.25
2404	-5.070412223980036	-3.36237685947761	0.25
2405	-3.95625669343431	-2.3116016640888777	0.25
2406	-3.9670444210672047	-3.48660429381282	0.25
2407	-4.357381770290581	2.970508993719274	0.25
2408	-5.742913193226876	-3.361541305375305	0.25
2409	-2.057173204180446	-2.40323352538969	0.25
2410	-3.872869964784856	-2.7572338691858973	0.25
2411	-3.079138347111064	-3.10513597538514	0.25
2412	-4.520585463698922	-2.8540958665764777	0.25
2413	-5.037413148318611	2.6634591677550112	0.25
2414	-4.0413242189355945	-2.8269534239273058	0.25
2415	-4.800774254753124	3.2022184278052372	0.25
2416	-4.5993565186292455	-2.8780034003733013	0.25
2417	-1.9942308855477562	-1.99239139470109	0.25
2418	-4.667635142924744	3.1077975477937034	0.25
2419	-5.69858898385412	-3.1860660273808508	0.25
2420	-4.651327909891966	2.8017349340228628	0.25
2421	-5.06179989524488	3.469215646129492	0.25
2422	-5.064235297293748	-3.347605434279808	0.25
2423	-3.3112424600036774	-2.8640006665727777	0.25
2424	-5.365649960100212	-3.3183434041101476	0.25
2425	-5.4901848763044745	4.177472318349299	0.25
2426	-5.145579975344849	3.0598921890427917	0.16666666666666666
2427	-4.508300090632099	-3.422263436389079	0.25
2430	-2.3769974728474046	2.590916349305839	0.25
2431	-5.436724574947014	-3.3703216241759244	0.25
2432	-3.078108358379637	-2.301200769918527	0.25
2433	-5.233561284307873	-3.5479229026696553	0.25
2434	-1.7265314899480464	-2.4765175164180544	0.25
2436	-5.042703912328548	3.304332249724896	0.25
2437	-1.5774120293999885	2.5091970972846704	0.25
2438	-1.6451386592020472	1.3225924920930814	0.25
2439	-5.31789917512125	-3.7343054290723368	0.25
2441	-5.84973090707762	3.6524103939681916	0.125
2443	-4.8154195100128945	-3.2018035872040818	0.25
2444	-5.452021481552322	-3.611375172386069	0.25
2445	-2.283551456568254	1.633264654907608	0.25
2446	2.7118171542890894	0.5315573736718544	0.25
2447	1.6567593938008056	-2.501827806902971	0.25
2448	-3.921829429519418	-2.6085638632610255	0.25
2449	-4.463998989648237	-3.4444138569404537	0.25
2450	1.4350235095051673	-2.2180562664633867	0.25
2451	-5.057108694440147	2.5682887381237487	0.25
2452	-5.575417538615639	3.5278300568509664	0.25
2453	-4.234264469810408	-2.8177463495991097	0.25
2454	-4.503888060397842	3.160848738867145	0.25
2455	1.814673487610195	-1.587154351157802	0.25
2456	-4.363495350677156	-3.3060755919011946	0.25
2457	3.172800068479017	0.6797979392466655	0.25
2458	-3.1609137784797308	-2.6413065972118828	0.25
2459	-3.8417362469528773	-2.310836706549784	0.25
2460	-4.673176230015093	3.4635457021329756	0.25
2462	-4.6763142221290215	-3.1593323008753296	0.25
2463	-2.7758915319453434	2.190670880649887	0.25
2464	-0.296795777897145	2.1899427112626166	0.25
2465	-4.204530697521462	-3.146886397478462	0.25
2466	-4.666292942844071	-3.493882165811004	0.25
2467	-5.931922497690519	-3.9193124362354816	0.25
2468	-4.581281282516122	3.506538365335045	0.25
2469	1.8268781433942793	1.6927769779235275	0.25
2470	-5.360470403583731	3.7060742254330896	0.25
2471	-4.064096151617958	-2.1116734670342225	0.25
2472	-5.273224709138824	-3.310493099414151	0.25
2474	-4.1542211682740176	2.890701580284984	0.25
2475	-5.375744511885142	-3.196576651937444	0.25
2476	-5.054901155198268	-2.831336383396397	0.25
2477	-5.254769764022736	-3.5718456811411405	0.25
2478	-4.6504814644232955	-2.9350117226806836	0.25
2479	-0.8862849709474125	1.5218452727741136	0.25
2480	-4.190883224194526	2.9494539948676923	0.25
2481	-4.904737299227654	-2.891026062767978	0.25
2482	-4.671399852852083	3.0827945386571773	0.25
2483	-1.8740638426314513	-2.5088680373657475	0.25
2484	-5.3190774121171485	-3.3214581571479935	0.25
2485	-4.347300049079229	2.447966215902488	0.25
2486	-4.917488424821695	-3.366889675953576	0.25
2487	-5.2945895630744015	3.818215870744042	0.25
2488	-4.573467454041671	3.704591524565255	0.25
2489	2.845790947609095	0.8670868534313518	0.25
2490	-4.109618617376181	-2.416777247156195	0.25
2491	-5.468749455221711	-3.2902046116154287	0.25
2492	-4.687149340531489	-3.0799048343176385	0.25
2493	-5.444771287166212	-3.241361494066089	0.25
2494	-3.847149672871151	-2.0012666780609756	0.25
2495	-5.622256120940351	-3.6894975004944115	0.25
2496	-3.9335625570778934	-3.0389978436875014	0.25
2497	-5.626341542231548	-3.3891670144622528	0.25
2498	-5.725557378413457	3.7249170762531105	0.25
2499	-3.5843757292333063	-2.5841406265873386	0.25
2500	-5.079266108025109	-3.2578942330781584	0.25
2501	-5.2191738328164705	-3.318953084395625	0.25
2502	-2.513616866914871	-1.6384453576045637	0.25
2503	-5.886769209140756	-3.8175892591705733	0.25
2504	-2.216978555013612	-1.8816739777252518	0.25
2505	-4.116858123299983	-2.5655667811864586	0.25
2506	-5.4670725076742155	-3.6684364447554882	0.25
2507	-5.46881595894384	-3.251677758312588	0.25
2508	1.1950398301853415	-1.3797600263962049	0.25
2509	-5.275363695984032	3.1499240610682953	0.25
2510	-5.648669533266014	-3.203214027682618	0.25
2511	-5.097557845009511	-2.7838386822486734	0.25
2512	-5.301845937853972	-3.4356931094196197	0.25
2513	-3.149010445519799	-3.249929100179826	0.25
2514	-3.8986545353239936	-2.6404577760064556	0.25
2515	-4.498920353326629	-2.8517440508405665	0.25
2516	-4.395865915046736	-2.528162484762469	0.25
2517	1.9787862546596975	-0.1101003738246305	0.25
2518	-5.380896405315213	-3.6550457295297947	0.25
2519	-3.975926127871942	2.396463400750419	0.25
2520	-1.5321875954857533	-2.850873494014233	0.25
2521	-5.805050584238977	-3.821026691365165	0.25
2522	-5.344145888195975	-3.248525835328211	0.25
2523	-2.0270913086219347	2.05544876665409	0.25
2524	-5.044248583348256	-3.126052443504988	0.25
2525	-5.732736619621684	-3.798841169289031	0.25
2526	-3.3331128432185464	-2.0715206047483194	0.25
2527	-5.54162419081597	-3.4510113628708594	0.25
2528	-4.165840502568435	-3.2865063826054124	0.25
2530	-5.232619498107457	-3.424375857452342	0.25
2531	-3.563434477019608	2.8453371976791724	0.25
2532	1.6826459956007198	1.648893678254875	0.25
2533	-3.730051235542084	-2.862451816327334	0.25
2534	-4.887918736204992	2.418648708225927	0.25
2535	1.9581098492828675	-1.5091361415275808	0.25
2536	-4.931004305204787	3.19534285623017	0.25
2537	-1.678139179209535	0.4505526505839353	0.25
2538	1.6949325650642715	-1.6720842946736412	0.25
2539	-4.1704795452963594	3.321032832405647	0.25
2540	-4.111470566208484	-2.6400052793206816	0.25
2541	-4.670517397007761	2.826355342928471	0.25
2542	-5.454273297791048	-3.1821504498757704	0.25
2543	-4.692730375341614	-3.0797011080845214	0.25
2544	-4.691228680396283	-2.5990509072189742	0.25
2545	-3.9865216271799757	-2.9715766348693493	0.25
2546	-5.231490860684138	-3.3800603589643528	0.25
2547	-5.63931752906621	-3.7171908490390124	0.25
2548	-5.305479583076242	-3.531275341737966	0.25
2549	-4.153563041064074	-3.5734620386267166	0.25
2550	-2.7365166243587464	-2.5763626548505814	0.25
2551	-3.5956678260563426	2.3633967233056894	0.25
2552	-4.235893419287751	-2.7324095895059997	0.25
2553	-4.430507116595606	2.9318234541041885	0.25
2554	-4.6117341377895045	3.2569795093150944	0.25
2555	2.33940515133844	-1.0738046586841865	0.25
2556	-4.016886996666141	2.974064688000416	0.25
2557	-2.897033805122546	-1.7108370780382915	0.25
2558	-5.293145842268544	-3.57973213770966	0.25
2559	-5.88504976115463	-3.5593134387644625	0.25
2560	-5.821274915130024	-3.5197147746952697	0.25
2561	-5.428452175410018	-2.7437000045211213	0.25
2562	-4.870388499397726	-3.5982530875584606	0.25
2563	2.1707922112035836	-2.093460317915977	0.25
2564	-5.372762929309331	-3.2159509585395645	0.25
2565	-3.8797643218391067	-2.9080771734060704	0.25
2566	-5.342719951497635	-2.871143781588851	0.25
2567	-4.282673506464968	-2.9675916718206796	0.25
2568	-5.837528547013141	-4.076970560795623	0.25
2569	-5.2034147912322295	-3.4038859181384926	0.25
2570	-5.430860238030458	-3.5628974443320187	0.25
2571	-4.806517374729309	-3.2061889822768386	0.25
2574	-2.813492205758047	2.1173174029584114	0.25
2575	-4.275824145672586	-3.001165626705687	0.25
2576	0.5547468457504352	0.7575874859093166	0.25
2577	-5.566120499757578	-3.7204339992270605	0.25
2578	-3.7835964342348847	-3.0372517519088986	0.25
2580	-5.07708894631687	-2.9486873993816505	0.25
2581	-4.053378697540133	-2.8002671874115213	0.25
2582	2.176861711882393	-0.8973755873427711	0.25
2583	-5.185541570420482	-3.2697328555859904	0.25
2584	-4.0801639535985395	-2.5880248589367456	0.25
2585	-5.133630049097463	-3.6057122926782723	0.25
2586	-5.253225506358094	-3.6025951073288156	0.25
2587	-4.311525076105516	-2.758691642909449	0.25
2588	-5.568849131961698	-3.195918799719101	0.25
2589	-5.457935010936539	-3.443845492979317	0.25
2590	-4.83916480135379	-2.534805444951779	0.25
2591	-5.395993895902695	-3.0056831696007404	0.25
2592	-5.016489951692538	-3.272463766144685	0.25
2593	-5.67902240214735	-3.721945878351945	0.25
2594	-2.4959295054279114	2.67133002869414	0.25
2595	-5.132569812155743	-3.1680614917072147	0.25
2596	-4.12265877106687	-3.345692101102599	0.25
2597	-4.071631790011163	-3.124453342989094	0.25
2598	2.1915753271408764	-2.4358694069912383	0.25
2599	-4.141813888704146	-2.539849170638321	0.25
2600	-4.956873165219766	-3.17927700971737	0.25
2601	-4.784376720337285	-3.222961600158727	0.25
2602	-3.7612451822225417	3.0122499764640107	0.25
2603	2.031340798609558	-1.0014836470440363	0.25
2604	-4.806666580588332	3.584298110810606	0.25
2605	-1.2793171936811547	0.7485931136031433	0.25
2606	-5.54788261777773	-3.0406384305566267	0.25
2607	-3.850548119412527	3.2242226679488675	0.25
2608	-4.157704472201502	2.905470521708679	0.25
2609	-5.683714684606686	-3.841039005230565	0.25
2610	-4.133313784036232	-3.2272892148419725	0.25
