qid	a	b	c
2364	-6.041629126206675	-3.233212475391949	0.25
2365	-5.6658031148597505	-3.539130817172649	0.25
2367	-5.687930980834704	-3.5197826651467783	0.25
2368	-5.437312186795377	3.096820186224669	0.25
2369	-5.549815740995085	3.9742040474153777	0.25
2370	2.370140471748159	0.8669016786102676	0.25
2371	-5.509304036653608	2.9054428983343534	0.25
2372	-6.19537375031135	-3.754524950217972	0.25
2373	-3.206519686609866	-3.04523888221381	0.25
2374	-3.9508625657868666	3.1378651154808836	0.25
2375	-5.254604993182966	3.1415227978144125	0.25
2376	-6.148088133646065	-4.095402179246701	0.25
2377	-4.7920950440500425	-3.444620096882835	0.25
2378	-5.699905748059243	3.4882229188017524	0.25
2379	-5.6637963073298865	3.260542785560328	0.25
2380	-4.009312611026616	2.5653403307029805	0.25
2381	-6.043162092251866	-3.770923051196107	0.25
2382	1.7520463493496283	2.0004405403759025	0.25
2383	-4.821145684164041	-3.0704593975222934	0.25
2386	-5.484298570376063	-2.868878648677105	0.25
2387	-4.227306042297968	3.063423984655552	0.25
2388	-5.852182697052059	-3.939691127727009	0.25
2389	-4.694685159352258	-3.430692114398644	0.25
2390	-4.497868788065767	-2.811089220844058	0.25
2391	-5.886448133823888	-3.707786359251352	0.25
2392	-3.734110624692492	2.922115613352949	0.25
2393	-4.933430686545824	2.902668069912854	0.25
2394	-4.715458758664674	-3.6480993042021193	0.25
2395	-3.713722203949793	2.905612253022136	0.25
2396	-5.523084586041252	3.9821060443588245	0.2
2397	-5.3378187391463445	-3.368981781891244	0.25
2398	-5.331604316842888	-3.659382221673157	0.25
2399	1.2438616711920574	1.38518852548425	0.25
2400	-4.987743666090349	-3.568672727628603	0.25
2401	-4.918188540840616	-3.3294809374563314	0.25
2402	-2.4903391463325453	2.7619183475560525	0.25
2403	-4.84418457061959	-3.3614937074053657	0.25
2404	-5.484863896877883	-3.868194444293341	0.25
2405	-5.508647934953182	-3.7289704428928174	0.25
2406	-4.679152270077979	-2.532666442350804	0.25
2407	-4.97817420589603	3.6742534094832844	0.25
2408	-6.246301182597927	-3.9058669873719096	0.25
2409	-3.0748836285697916	-1.9949130229293697	0.25
2410	-3.5962901661694184	2.3648340455282284	0.25
2411	-1.1969102574285635	-1.8652590855316855	0.25
2412	-5.023756953350369	-3.1216969026080994	0.25
2413	-6.136185810674598	3.998951130169106	0.25
2414	-4.427195539169586	-3.7076992447348487	0.25
2415	-5.484523897381439	3.1393752478092365	0.25
2416	-5.0917057479922825	-2.9465495586077757	0.25
2417	-3.075047465664599	2.747609677136829	0.25
2418	-5.567256632815977	3.5660468363255973	0.25
2419	-6.332913196627801	-3.9676697767000153	0.25
2420	-5.336518038852044	3.0187983535743887	0.25
2421	-5.340143371613704	3.715366654595744	0.25
2422	-5.78512955864771	-2.956803793270522	0.25
2423	-3.91160464452734	-2.436172821034779	0.25
2424	-5.216616165918892	-3.292736531336238	0.25
2425	-5.63318939002674	3.307021655335018	0.25
2426	-5.885225988591389	3.4024915132542883	0.16666666666666666
2427	-5.661960797316823	-3.2855456485006815	0.25
2430	-4.441492707560323	-3.0150923357600066	0.25
2431	1.8248748853916892	1.6337447644061704	0.25
2432	1.5199513012837955	-1.3138664684733405	0.25
2433	-5.458512997824254	-3.1290118768435264	0.25
2434	-4.403665919846643	-3.748533698442155	0.25
2436	-5.515562599605189	3.4621612366831074	0.25
2437	-4.213127122350328	-3.079891128463186	0.25
2438	-2.4759351619462637	-2.440176195736136	0.25
2439	-5.625158646679711	-3.6777700090092025	0.25
2441	-6.162591339295432	3.7050259401207235	0.125
2443	-5.4489571020556244	-3.6201256068569534	0.25
2444	-5.896527277299934	-3.745623816222551	0.25
2445	-4.175776443105137	3.5909136698860724	0.25
2446	-5.077254595693998	3.6058054417656096	0.25
2447	-5.7725815041965856	-3.559283719941172	0.25
2448	-3.23726978405444	-2.905289949628429	0.25
2449	-4.963019539598969	-3.1177025984528193	0.25
2450	-5.891617887657536	3.97969722055137	0.25
2451	-5.636415629404558	3.352979983492651	0.25
2452	-5.810728927419523	3.688328772697532	0.25
2453	-4.581880663807033	-3.388453992906778	0.25
2454	-5.581886514950917	3.2245012735418572	0.25
2455	-5.653890237607212	3.1902248948611778	0.25
2456	-5.296700020753336	-3.5296783819198723	0.25
2457	-5.906534795266566	-3.553999351618113	0.25
2458	-3.3141665668095817	-3.534118516548472	0.25
2459	-5.047259877679513	-3.328000958852601	0.25
2460	-5.125628411197617	3.5290394816275246	0.25
2462	-5.085331563622539	-3.3649757719399402	0.25
2463	-3.373306963076041	2.9342048733388704	0.25
2464	-3.7091621938860464	-3.05429031892893	0.25
2465	-1.9540304248782208	1.7484169928071338	0.25
2466	-4.774589538863879	-3.771248519950125	0.25
2467	-6.2384904993771775	-3.7373039496526017	0.25
2468	-4.705555332829145	3.580769277940671	0.25
2469	-5.068963080558645	-3.1980879862714695	0.25
2470	-5.585652814371514	3.560011709364873	0.25
2471	-4.624128429611722	-3.688957079125527	0.25
