qid	a	b	c
2364	-4.062817299186805	-2.7392690917209084	0.25
2365	-3.97969173118611	-3.0757902058202005	0.25
2367	-4.21296703145541	-3.134333952338786	0.25
2368	-3.9638879140616403	2.702210881725938	0.25
2369	-3.553861389300317	2.691459470990871	0.25
2370	-1.8362373990025718	-1.984814521183755	0.25
2371	1.4342372645227635	2.411867520741407	0.25
2372	-4.417661957534526	-3.291876247425377	0.25
2373	1.703024927904244	-0.9490319042847635	0.25
2374	-2.4220595964916174	2.541784893317946	0.25
2375	-3.5404966766895933	2.6637733117408664	0.25
2376	-4.075256133629025	-2.195086860793415	0.25
2377	-3.0497343423003827	-2.849245727160776	0.25
2378	-3.4328063514125593	1.9175746181772475	0.25
2379	-3.9660892972110378	2.8361218388211387	0.25
2380	-1.745902180845853	-0.526880857543742	0.25
2381	-4.456886288223831	-3.579784206748579	0.25
2382	-1.397919412578181	-2.288467272130598	0.25
2383	-3.125075901300498	-2.463353534600287	0.25
2386	-3.3019914261116425	-2.4414423550065694	0.25
2387	-1.7088991641994733	1.7133878527521007	0.25
2388	-3.78703253212164	-3.1412157201094693	0.25
2389	-3.4716249310879825	-2.9471513614482068	0.25
2390	-2.000732444848873	-1.8135894440367022	0.25
2391	-4.326206196496909	-3.1598196553229663	0.25
2392	-1.510460904643339	2.366508935467786	0.25
2393	-3.221500723870597	2.716432269221663	0.25
2394	-1.0109004378491468	-2.197096553736972	0.25
2395	-0.9708102157840882	2.182816075822865	0.25
2396	-4.093500618972376	2.9460393877900173	0.2
2397	-2.631943534763592	-1.3233934051649976	0.25
2398	-2.5415108640988997	-3.0531965322400754	0.25
2399	-2.3413187297181364	2.1261373527721985	0.25
2400	-1.713335334751466	-3.0352549613470483	0.25
2401	-3.007498230175329	-2.730756392920029	0.25
2402	-2.263368393523931	1.9730441545323574	0.25
2403	-3.5579474460795266	-2.2345811934703184	0.25
2404	-3.8478130289300503	-3.0939266754112063	0.25
2405	-2.72611263857301	-2.609070015757522	0.25
2406	-1.9716331700357992	-2.2996849646986632	0.25
2407	-3.5239854875293273	2.817646097061585	0.25
2408	-4.622406615558851	-3.3910180373190046	0.25
2409	-1.2523111258876398	-0.7790955539461235	0.25
2410	0.09156399732324198	1.5341837949462391	0.25
2411	-0.5216811168023603	-1.5506258917976508	0.25
2412	-3.288785377240704	-2.7556452485449765	0.25
2413	-4.256904976373971	3.170051157270873	0.25
2414	-3.8337291118920103	-3.0252711124949276	0.25
2415	-3.067518335367133	2.5888344815912756	0.25
2416	-3.32667104844254	-2.567396592380882	0.25
2417	1.1978309808156673	-1.0452303674113883	0.25
2418	-3.986272275203428	2.5171874862808887	0.25
2419	-4.528673838651194	-3.2997926755890723	0.25
2420	-3.4884056679985083	2.6953020876529568	0.25
2421	-1.2257180234669458	1.699314741319316	0.25
2422	-3.8390779919534364	-2.4972194142472546	0.25
2423	-1.4273289580983557	-1.7495803900205835	0.25
2424	-4.158010946341882	-3.3033047293470474	0.25
2425	-4.2913558518841715	3.2519689810433143	0.25
2426	-3.9489480352087067	2.850645288017338	0.16666666666666666
2427	-3.6755516987218613	-2.9688817666706093	0.25
2430	-0.5245621973468261	1.3475397796278437	0.25
2431	-4.298597393282278	-2.7547759903644944	0.25
2432	-2.00938948391113	1.6533819550836633	0.25
2433	-3.6403100066727347	-2.583619074740384	0.25
2434	-1.4787308065097147	-2.650724603298515	0.25
2436	-3.893030379789994	2.9426537953731966	0.25
2437	-3.1054682422502125	-2.6907462251616368	0.25
2438	0.3162010542097396	1.1102815133235373	0.25
2439	-3.384553604374785	-2.778066785145301	0.25
2441	-4.3546430215283145	3.5781314008082514	0.125
2443	-3.0061095374048903	-2.9630998356622897	0.25
2444	-4.321028512694669	-2.852358002123026	0.25
2445	-0.6531380774186758	0.45127572539233385	0.25
2446	-2.4512775237229887	2.4304628771757852	0.25
2447	-4.067850940492498	-3.3701697685570444	0.25
2448	-3.210642751940991	-2.034395920288688	0.25
2449	-3.2343068122529863	-2.864758691139424	0.25
2450	-3.643909254658416	2.64574197995065	0.25
2451	-3.4060933258862542	3.439667874118478	0.25
2452	-4.047340330349764	3.0675097734223877	0.25
2453	-3.018130224677541	-3.087268043563406	0.25
2454	-3.5292470582946134	2.946542641837974	0.25
2455	-4.129338756522069	3.2689014794227247	0.25
2456	-2.398181113195906	-1.454819638164246	0.25
2457	-4.284277574370921	-4.110383400179515	0.25
2458	0.46562800917246544	-1.410551128515735	0.25
2459	-3.651317917354977	-3.028833710930041	0.25
2460	-3.131682809863256	2.4013895042557287	0.25
2462	-3.2976788297728192	-3.0390047627932955	0.25
2463	-1.8671035817018438	1.4743898634606678	0.25
2464	0.46187560691049123	3.527055508894565	0.25
2465	-2.487298172815111	-2.246483204048403	0.25
2466	-3.136816370962812	-2.1891474534048445	0.25
2467	-4.146632630688117	-2.283530516654204	0.25
2468	-3.1375184044346627	2.8185954791265937	0.25
2469	-2.583420807939956	-2.7180636987838267	0.25
2470	1.3214500531394582	1.3232355175174315	0.25
2471	-2.738795504971979	-3.034292002224442	0.25
2472	-3.92736051792887	-2.714879881035658	0.25
2474	-3.307570260368517	2.70492846184113	0.25
2475	-4.31402095396122	-3.3014425513078685	0.25
2476	-4.1072982180749795	-3.318365218071168	0.25
