qid	a	b	c
2364	-5.387168807052378	-3.5938359596259146	0.25
2365	-4.9230336882052015	-3.2907180041983435	0.25
2367	-4.772255641719962	-3.169026000643931	0.25
2368	-4.697390865939936	2.92998977895253	0.25
2369	-4.308959628606057	3.1092578560774022	0.25
2370	-3.7742973483755966	-2.9608580741557295	0.25
2371	-4.932127573212283	2.9691667277492075	0.25
2372	-5.342042156036792	-3.888205166506089	0.25
2373	-2.63225223377892	-1.911742111743915	0.25
2374	-4.251094523491412	3.113691142057812	0.25
2375	-4.039518645999555	2.6626446837820703	0.25
2376	-5.188752766035099	-3.5738763304705743	0.25
2377	1.4990883305758007	-2.154999651399267	0.25
2378	-4.646896959543664	3.027916189308046	0.25
2379	-4.3607224389407815	3.5642585719032063	0.25
2380	-4.486538399582653	3.6860913960046626	0.25
2381	-4.7791237646598494	-2.0228436400285563	0.25
2382	0.2551793985494639	-0.3341866005568023	0.25
2383	-2.874072517465687	-3.6810004006873474	0.25
2386	-4.110850725385981	-2.7979113258023953	0.25
2387	-3.2383029067664393	1.7950022586227625	0.25
2388	-4.799909138758585	-3.407052759304217	0.25
2389	-3.568901818085769	-2.7605819335454225	0.25
2390	2.231414076118028	0.7569381650631274	0.25
2391	-5.009789424412831	-3.1957587801425538	0.25
2392	1.6538646216629076	-0.7942903489848675	0.25
2393	-4.151635180105267	2.908746736600144	0.25
2394	-4.233135126665738	-3.0519280441240353	0.25
2395	-2.618312601233298	-2.880042631811135	0.25
2396	-4.8567895312841936	3.416838903617422	0.2
2397	-4.197457384253882	-2.179017557113911	0.25
2398	-3.399860149718109	-2.1850406513615086	0.25
2399	-3.579068804354565	3.0003654670323163	0.25
2400	-3.0038877225634035	0.8452949341642209	0.25
2401	-4.241838835720575	-2.9861347138736596	0.25
2402	-3.74974453797963	2.7446837837997107	0.25
2403	-4.308228174708012	-3.3404381900170868	0.25
2404	-4.407590845675204	-2.6544517846164615	0.25
2405	-4.26076716080858	-3.2544117110604573	0.25
2406	-4.069568746488033	-3.141555112439157	0.25
