qid	a	b	c
2364	-3.5559613284018106	-3.0324756849934973	0.25
2365	-3.074538562181631	-2.810119109258701	0.25
2367	-2.8778281733813924	-2.4830938824593694	0.25
2368	-3.133157925173686	2.8443632280512494	0.25
2369	-2.8661992103501692	2.7499550466426603	0.25
2370	0.26332999169260446	0.12324415613835452	0.25
2371	-3.5902459873760026	3.037674154169858	0.25
2372	1.7568362641938602	-3.269490422181087	0.25
2373	0.42255229821039264	0.3587543467881738	0.25
2374	-1.375979246829642	1.6733117762852143	0.25
2375	-2.8003998684142486	2.6087260572099225	0.25
2376	-3.343386666547292	-3.1817487880297586	0.25
2377	-2.5702274562977117	-2.4792347538813697	0.25
2378	-3.301561483740574	3.0461418052005658	0.25
2379	-2.81548328196244	1.9912538233445998	0.25
2380	-1.3415724906854953	-0.7739134316119395	0.25
2381	-3.420135849339129	-3.115507511684326	0.25
2382	-0.5148641317756426	0.6263943531844631	0.25
2383	-0.20071638487548912	-2.087495702701876	0.25
2386	-2.6949679763222654	-2.7662479950210463	0.25
2387	-0.19941010448466168	1.9573528431580938	0.25
2388	-3.1850952696070576	-2.7122119037221486	0.25
2389	-1.5786142574203472	-1.887126761182356	0.25
2390	1.0227192431695573	-0.020368723030648562	0.25
2391	1.3403756235469948	2.165430262708625	0.25
2392	1.3746102242449285	1.072012026362368	0.25
2393	0.3886367692903618	1.5556389520225784	0.25
2394	1.7470720025598931	1.5612520695335375	0.25
2395	-1.157192227875624	2.0348778847164297	0.25
2396	-3.413479359605942	3.0284641961195904	0.2
2397	-1.8330612704967604	-1.7572691886699914	0.25
2398	-1.9587588087783536	-2.51599127687689	0.25
2399	-2.3905172535633006	1.9996551257003377	0.25
2400	0.7871935609840618	1.5097073967360213	0.25
2401	-0.8881665248280115	-1.3232929526868673	0.25
2402	-1.522554549503888	0.11617092793081372	0.25
2403	-1.5111932941179635	0.34963323822359244	0.25
2404	1.1136527062568329	-1.5113000533995256	0.25
2405	-2.275538595576868	-1.6832141873077384	0.25
2406	-2.386787865765398	0.7474349126652903	0.25
2407	-2.066461722676274	2.2003122165434252	0.25
2408	-3.812517286501249	-3.2813869052383726	0.25
2409	0.28406851879440603	0.8476488096655067	0.25
2410	0.8846535867322606	-0.8753119034104618	0.25
2411	-1.2990479461561406	0.2773653386298356	0.25
2412	-2.806303217304742	-2.177328707962715	0.25
2413	-3.759140797168791	3.38211758644942	0.25
2414	-2.726279296300562	-2.381809329083396	0.25
2415	-2.4723444778674444	1.8685979443938066	0.25
2416	0.714457465647383	-1.8600506712858869	0.25
2417	-1.146461091553229	-0.0997839353741473	0.25
2418	-3.3184414012738332	2.820956725651286	0.25
2419	-3.809414154029566	-3.2324763813358093	0.25
2420	-2.1955970082598033	1.5373102052144658	0.25
2421	-2.9726032185799363	2.483918601934917	0.25
2422	-3.2070363058748916	-3.215439821504523	0.25
2423	-0.3166334791351315	-1.336106239891426	0.25
2424	2.141945675532476	-1.3953377595135115	0.25
2425	-3.259318533197607	2.528826021602318	0.25
2426	-2.3013117664817133	0.8047268683822163	0.16666666666666666
2427	-2.4849258356756585	-2.2447494066617124	0.25
2430	-0.7180185383380956	-1.8277282241442905	0.25
2431	-3.1373410080194417	-1.9116919317761647	0.25
2432	-1.6966121148838444	0.08977442543567236	0.25
2433	-3.015812109512481	-2.498442027467242	0.25
2434	-1.2250375883800724	-0.6263509385155126	0.25
2436	-2.7875097434394465	2.560028281164474	0.25
2437	1.1320452097135054	-1.6958515412361663	0.25
2438	-0.7938302186533981	1.5097839242077071	0.25
2439	-2.9577324581865367	-2.627730531580875	0.25
2441	-3.296557991547704	2.176645964108111	0.125
2443	-1.7897562728079393	-0.5327073526495779	0.25
2444	-3.3817007448209506	-3.1748504606080634	0.25
2445	-1.9129589566479133	2.2440281709831176	0.25
2446	-1.8138495670819978	2.1525431044141463	0.25
2447	-3.258224320254046	-2.9012252752599563	0.25
2448	-1.047072086170477	-0.06235203218177981	0.25
2449	-0.48461915143843387	-0.2806319201905258	0.25
2450	-3.1488370895685174	2.7386838179202657	0.25
2451	-3.100975749034233	3.028479437893698	0.25
2452	-3.308355346450121	2.330749411991868	0.25
2453	-1.4889739268672484	-1.811245489542558	0.25
2454	-1.726781278110698	2.054336693589643	0.25
2455	1.2819301983015796	-2.3195147049449467	0.25
2456	-1.512724948869138	-2.479978051437317	0.25
2457	-3.0390407810009403	-2.0747826162050056	0.25
2458	-1.2084605666463513	-1.4005447473864665	0.25
2459	-1.4979669185041835	-2.5435949675468383	0.25
2460	-2.035919186429614	1.1567039014778275	0.25
2462	-1.734124983636147	-2.5721668968009666	0.25
2463	-0.31582416285330683	1.7228901374547152	0.25
2464	1.3781801430873748	-0.17293377223402126	0.25
2465	1.355619934234007	1.6221136704556904	0.25
2466	-0.41610643205076864	-0.25160348144633926	0.25
2467	-3.5978231150807085	-2.750865559034336	0.25
2468	0.019287087288424886	2.279219264983257	0.25
2469	-0.12022658722868923	1.0951045777754356	0.25
2470	-2.83529494722295	2.4352768099891087	0.25
2471	-1.802354432453739	-2.0614048354310777	0.25
2472	-2.753834230255701	-2.2929967033383463	0.25
2474	-1.2051030872605542	1.939769813079578	0.25
2475	-3.242409664264872	-2.3867202440410935	0.25
2476	-2.7683910677210055	-1.7956980268767124	0.25
2477	-3.4202790208047658	-3.1285603687806853	0.25
2478	-1.763720735719922	-2.004546550139271	0.25
2479	-0.599433698425812	0.499160105520163	0.25
2480	-0.6323269516966371	0.5549952027980393	0.25
2481	-2.626382523517942	-3.1272613988044777	0.25
2482	-2.5982268583772616	2.7136819508471066	0.25
2483	-2.2563220251876426	-0.9015757201168372	0.25
2484	-3.0868703685977077	-2.2304399759235887	0.25
2485	1.0329822246235425	1.4258915928099052	0.25
2486	-1.6573779580656522	-1.200392482649187	0.25
2487	-2.936390892548755	1.7766298053315122	0.25
2488	-2.0145916193922115	2.414630943804564	0.25
2489	-3.2542237288050573	-2.3893548718302764	0.25
2490	-2.137890539280568	0.8972750068345818	0.25
2491	1.7695549131659356	1.4645088633352543	0.25
2492	-2.8186941183343888	-2.8864093339624306	0.25
2493	-2.209765786427701	-1.4568403822492348	0.25
2494	-2.7037855767037637	-2.1224690277039397	0.25
2495	0.7296704834783045	-1.6720759422922178	0.25
2496	0.9684811571348705	2.4534164279275417	0.25
2497	-3.2153436297654907	-2.4364269168276005	0.25
2498	-3.5560548759322144	2.9895568913030535	0.25
2499	1.261783825426154	1.6930417499741883	0.25
2500	-3.011555679944424	-3.14490586198486	0.25
2501	-3.0812569157561818	-3.030562698127849	0.25
2502	-1.4539615950734432	1.6691285822422472	0.25
2503	-3.530197459879752	-2.327858098070454	0.25
2504	0.9562354502999061	1.5785720614030054	0.25
2505	-1.7825218810327432	-0.525928756122005	0.25
2506	-3.9871783822710816	-3.6623938876133804	0.25
2507	-2.148962741405142	-3.1501259293557795	0.25
2508	0.6543457937915228	1.0825473709586584	0.25
2509	-3.102007465530661	1.7677766651505336	0.25
2510	-2.9450530960354566	-2.1808375320832987	0.25
2511	-2.8767783358188836	-2.4505900587730225	0.25
2512	-3.5675247369063245	-3.381640745494477	0.25
2513	-2.156319350004384	-2.4265266711210822	0.25
2514	-0.706082065809724	-0.2941174242683808	0.25
2515	1.229400427191896	1.7861384120619623	0.25
2516	-1.3031503924381715	-0.8956599013306302	0.25
2517	-1.7516385217395607	0.7824397321593576	0.25
2518	-3.612452297320877	-3.741184526077723	0.25
2519	-0.31519915448875835	-0.16974499868286053	0.25
2520	-2.2029107796845073	-0.1862806259039994	0.25
