qid	a	b	c
2364	-5.068598597378556	-2.0511948078937707	0.25
2365	-5.275404330974228	-3.1598787875544105	0.25
2367	-4.825744039295997	-2.7538636387670588	0.25
2368	-5.013320191296122	3.7398890901751147	0.25
2369	-5.039945412705942	3.3499863994334866	0.25
2370	0.13887459387380635	-2.050393405593718	0.25
2371	-5.2933266035825035	2.995442314503749	0.25
2372	-5.484598795045625	-3.2503690489613954	0.25
2373	-2.5191984966189147	-2.7813530397157042	0.25
2374	-4.20394159949692	3.1777074063840245	0.25
2375	-5.041153393290331	3.596207954318481	0.25
2376	-5.758589055727889	-3.5205513355050964	0.25
2377	-4.54379439157906	-2.9026246027223164	0.25
2378	-5.040855890345674	2.943867637026517	0.25
2379	-5.320881538266644	3.786850164889671	0.25
2380	-2.879001339235754	1.912832260656008	0.25
2381	1.7909285946927611	-1.2745300667006894	0.25
2382	-2.5430681284648604	-2.4798200765911536	0.25
2383	-4.33969986766859	-2.9329177949467358	0.25
2386	-4.528792732716136	-3.0274731625044806	0.25
2387	-3.820522554795187	3.161398619619506	0.25
2388	-4.89408943596441	-2.93814116268285	0.25
2389	-4.834646480473667	-3.9182478339085693	0.25
2390	-2.9940197663820682	-2.4566541159620137	0.25
2391	-5.240041412934228	-3.8769039143805526	0.25
2392	-1.6968219677834881	-0.7892278337176494	0.25
2393	-3.4933144223523858	2.1417452206300935	0.25
2394	-3.753344733229943	-2.80628396043396	0.25
2395	-2.2275990041028235	1.8528822565613847	0.25
2396	-5.438638259963006	3.414739279101373	0.2
2397	-5.064244252194387	-3.7725386489492627	0.25
2398	-4.3177889014156055	-2.8598257962682383	0.25
2399	1.5219144722492886	-1.6328126624760673	0.25
2400	-1.7889767895899253	2.0142234359570286	0.25
2401	-4.859833061386587	-3.601935278850574	0.25
2402	-3.2778219167493514	-2.9707819401862907	0.25
2403	-4.713965021010843	-2.5617166732455368	0.25
2404	-4.8695763010642175	-3.018265354975176	0.25
2405	-4.054385530929516	-2.4191932118150516	0.25
2406	-3.8714631218942452	-2.8845182077982416	0.25
2407	-4.678318004754397	3.30661172196325	0.25
2408	1.4234631149236379	2.452371104231667	0.25
2409	0.9254841749209817	0.3637251918750579	0.25
2410	-4.043841848825795	3.4356376963919413	0.25
2411	-1.7901976821222274	0.8076323879689683	0.25
2412	-5.121118074891968	-3.5460019080488823	0.25
2413	-5.437870444624718	3.1271653264806547	0.25
2414	2.198997346092436	2.8068538884248566	0.25
2415	-4.430689055677687	3.5136562687401525	0.25
2416	1.5670548707176928	-1.3922367259814912	0.25
2417	-3.7121809970394537	-3.1120947673029065	0.25
